Classificador,Média,RMS,Maximo,Mínimo,Desvio Padrão,Variância
1,2.54E-05,0.001873956,0.012817383,-0.010498047,0.001873822,3.51E-06
5,3.46E-05,0.012767641,0.043243408,-0.048919678,0.012767849,0.000163018
1,2.61E-05,0.001914966,0.015167236,-0.011108398,0.001914827,3.67E-06
5,2.36E-05,0.013137737,0.049438477,-0.055877686,0.013137978,0.000172606
1,2.58E-05,0.001911201,0.015258789,-0.011932373,0.001911066,3.65E-06
5,1.72E-05,0.011875722,0.041168213,-0.041564941,0.011875948,0.000141038
1,2.46E-05,0.001854257,0.014343262,-0.010955811,0.001854131,3.44E-06
5,3.11E-05,0.012505116,0.0440979,-0.049987793,0.012505328,0.000156383
1,2.60E-05,0.001901485,0.017791748,-0.013671875,0.001901345,3.62E-06
5,1.89E-05,0.012355552,0.053985596,-0.051300049,0.012355785,0.000152665
1,2.55E-05,0.001896037,0.016723633,-0.010528564,0.001895904,3.59E-06
5,1.63E-05,0.012499517,0.045837402,-0.046203613,0.012499757,0.000156244
1,2.59E-05,0.001927906,0.011230469,-0.013366699,0.001927771,3.72E-06
5,3.42E-05,0.011834196,0.046356201,-0.04510498,0.011834384,0.000140053
1,2.49E-05,0.001992217,0.013763428,-0.010620117,0.001992102,3.97E-06
5,2.49E-05,0.012564547,0.044403076,-0.048492432,0.012564774,0.000157874
1,2.53E-05,0.0019363,0.012145996,-0.010864258,0.001936174,3.75E-06
5,2.71E-05,0.013808897,0.053375244,-0.052490234,0.013809147,0.000190693
1,2.58E-05,0.001973077,0.014862061,-0.011108398,0.001972948,3.89E-06
5,1.52E-05,0.012847585,0.049255371,-0.04888916,0.012847833,0.000165067
1,2.54E-05,0.001933264,0.011688232,-0.011413574,0.001933136,3.74E-06
5,2.49E-05,0.012062402,0.050964355,-0.050445557,0.012062617,0.000145507
1,2.44E-05,0.001962462,0.014953613,-0.010894775,0.001962349,3.85E-06
5,2.40E-05,0.01211878,0.050018311,-0.051574707,0.012118998,0.00014687
1,2.64E-05,0.001912225,0.013366699,-0.011932373,0.001912081,3.66E-06
5,2.32E-05,0.012516405,0.047302246,-0.050811768,0.012516634,0.000156666
1,2.40E-05,0.001977843,0.015594482,-0.011688232,0.001977737,3.91E-06
5,2.64E-05,0.010981238,0.041412354,-0.044006348,0.010981426,0.000120592
1,2.55E-05,0.001896001,0.012817383,-0.010742188,0.001895868,3.59E-06
5,2.24E-05,0.011527333,0.042816162,-0.044433594,0.011527542,0.000132884
1,2.58E-05,0.001868181,0.014862061,-0.010681152,0.00186804,3.49E-06
5,1.85E-05,0.014071188,0.055999756,-0.064483643,0.014071457,0.000198006
1,2.67E-05,0.001876533,0.015808105,-0.010467529,0.00187638,3.52E-06
5,3.79E-05,0.014603987,0.05645752,-0.058410645,0.01460423,0.000213284
1,2.62E-05,0.001865059,0.013763428,-0.011505127,0.001864912,3.48E-06
5,2.46E-05,0.0143865,0.056030273,-0.058441162,0.014386766,0.000206979
1,2.52E-05,0.001910403,0.013122559,-0.010040283,0.001910275,3.65E-06
