 Item ; Média ; RMS ; Maximo ; Mínimo ; Desvio Padrão ; Variância ;;;;;;;;
 Isolador Bom ; 0,0000252222 ; 0,0019144067 ; 0,0146179200 ;-0,0114135740 ; 0,0019142789 ; 0,0000036645 ;;;;;;;;
 Isolador Bom ; 0,0000188721 ; 0,0017234104 ; 0,0125732420 ;-0,0115051270 ; 0,0017233415 ; 0,0000029699 ;;;;;;;;
 Isolador Bom ; 0,0000239136 ; 0,0018638998 ; 0,0152282710 ;-0,0102233890 ; 0,0018637837 ; 0,0000034737 ;;;;;;;;
 Isolador Bom ; 0,0000252747 ; 0,0019503405 ; 0,0138549800 ;-0,0093688965 ; 0,0019502157 ; 0,0000038033 ;;;;;;;;
 Isolador Bom ; 0,0000245776 ; 0,0019143088 ; 0,0156860350 ;-0,0111389160 ; 0,0019141893 ; 0,0000036641 ;;;;;;;;
 Isolador Bom ; 0,0000261365 ; 0,0019068021 ; 0,0135192870 ;-0,0095520020 ; 0,0019066611 ; 0,0000036354 ;;;;;;;;
 Isolador Bom ; 0,0000234106 ; 0,0019062731 ; 0,0117492680 ;-0,0104980470 ; 0,0019061675 ; 0,0000036335 ;;;;;;;;
 Isolador Bom ; 0,0000260474 ; 0,0018989940 ; 0,0156250000 ;-0,0106506350 ; 0,0018988534 ; 0,0000036056 ;;;;;;;;
 Isolador Bom ; 0,0000249890 ; 0,0019146595 ; 0,0152893070 ;-0,0104675290 ; 0,0019145347 ; 0,0000036654 ;;;;;;;;
 Isolador Bom ; 0,0000262329 ; 0,0018988448 ; 0,0147399900 ;-0,0118713380 ; 0,0018987016 ; 0,0000036051 ;;;;;;;;
 Isolador Bom ; 0,0000249304 ; 0,0018912702 ; 0,0126037600 ;-0,0111083980 ; 0,0018911437 ; 0,0000035764 ;;;;;;;;
 Isolador Bom ; 0,0000249768 ; 0,0018625368 ; 0,0137329100 ;-0,0111999510 ; 0,0018624066 ; 0,0000034686 ;;;;;;;;
 Isolador Bom ; 0,0000261182 ; 0,0018789355 ; 0,0129394530 ;-0,0112609860 ; 0,0018787916 ; 0,0000035299 ;;;;;;;;
 Isolador Bom ; 0,0000253711 ; 0,0019113892 ; 0,0138549800 ;-0,0105285640 ; 0,0019112590 ; 0,0000036529 ;;;;;;;;
 Isolador Bom ; 0,0000256445 ; 0,0018740471 ; 0,0145263670 ;-0,0098266602 ; 0,0018739091 ; 0,0000035115 ;;;;;;;;
 Isolador Bom ; 0,0000255530 ; 0,0018776823 ; 0,0127258300 ;-0,0107727050 ; 0,0018775460 ; 0,0000035252 ;;;;;;;;
 Isolador Bom ; 0,0000247815 ; 0,0018415685 ; 0,0130615230 ;-0,0123291020 ; 0,0018414386 ; 0,0000033909 ;;;;;;;;
 Isolador Bom ; 0,0000253723 ; 0,0018869475 ; 0,0152587890 ;-0,0123291020 ; 0,0018868146 ; 0,0000035601 ;;;;;;;;
 Isolador Bom ; 0,0000255920 ; 0,0018532705 ; 0,0159606930 ;-0,0135803220 ; 0,0018531308 ; 0,0000034341 ;;;;;;;;
 Isolador Bom ; 0,0000261414 ; 0,0018617696 ; 0,0142822270 ;-0,0115356450 ; 0,0018616233 ; 0,0000034656 ;;;;;;;;
 Isolador Bom ; 0,0000257336 ; 0,0019134091 ; 0,0146484380 ;-0,0106811520 ; 0,0019132743 ; 0,0000036606 ;;;;;;;;
 Isolador Bom ; 0,0000246973 ; 0,0018411779 ; 0,0149230960 ;-0,0097351074 ; 0,0018410491 ; 0,0000033895 ;;;;;;;;
 Isolador Bom ; 0,0000267847 ; 0,0019062502 ; 0,0147705080 ;-0,0121154790 ; 0,0019061001 ; 0,0000036332 ;;;;;;;;
 Isolador Bom ; 0,0000252283 ; 0,0019550739 ; 0,0140991210 ;-0,0104675290 ; 0,0019549502 ; 0,0000038218 ;;;;;;;;
 Isolador Bom ; 0,0000249390 ; 0,0018499661 ; 0,0145568850 ;-0,0112609860 ; 0,0018498350 ; 0,0000034219 ;;;;;;;;
 Isolador Bom ; 0,0000261401 ; 0,0018523867 ; 0,0137939450 ;-0,0107116700 ; 0,0018522393 ; 0,0000034308 ;;;;;;;;
 Isolador Bom ; 0,0000249500 ; 0,0018662182 ; 0,0137329100 ;-0,0126342770 ; 0,0018660887 ; 0,0000034823 ;;;;;;;;
 Isolador Bom ; 0,0000250183 ; 0,0018749355 ; 0,0144653320 ;-0,0105896000 ; 0,0018748060 ; 0,0000035149 ;;;;;;;;
 Isolador Bom ; 0,0000260522 ; 0,0018904835 ; 0,0140075680 ;-0,0130004880 ; 0,0018903418 ; 0,0000035734 ;;;;;;;;
 Isolador Bom ; 0,0000261072 ; 0,0019048616 ; 0,0139160160 ;-0,0120849610 ; 0,0019047207 ; 0,0000036280 ;;;;;;;;
 Isolador Bom ; 0,0000247437 ; 0,0019068686 ; 0,0122985840 ;-0,0115051270 ; 0,0019067462 ; 0,0000036357 ;;;;;;;;
 Isolador Bom ; 0,0000252466 ; 0,0018534412 ; 0,0122985840 ;-0,0099792480 ; 0,0018533063 ; 0,0000034347 ;;;;;;;;
 Isolador Bom ; 0,0000259216 ; 0,0018689740 ; 0,0149841310 ;-0,0103149410 ; 0,0018688316 ; 0,0000034925 ;;;;;;;;
 Isolador Bom ; 0,0000249255 ; 0,0018910020 ; 0,0144653320 ;-0,0106811520 ; 0,0018908756 ; 0,0000035754 ;;;;;;;;
 Isolador Bom ; 0,0000268323 ; 0,0018593366 ; 0,0130310060 ;-0,0101928710 ; 0,0018591802 ; 0,0000034566 ;;;;;;;;
 Isolador Bom ; 0,0000253943 ; 0,0018341726 ; 0,0131835940 ;-0,0106811520 ; 0,0018340334 ; 0,0000033637 ;;;;;;;;
 Isolador Bom ; 0,0000245972 ; 0,0019022125 ; 0,0139160160 ;-0,0120544430 ; 0,0019020915 ; 0,0000036180 ;;;;;;;;
 Isolador Bom ; 0,0000260132 ; 0,0018478396 ; 0,0131225590 ;-0,0106201170 ; 0,0018476934 ; 0,0000034140 ;;;;;;;;
 Isolador Bom ; 0,0000268750 ; 0,0018636682 ; 0,0151672360 ;-0,0090637207 ; 0,0018635117 ; 0,0000034727 ;;;;;;;;
 Isolador Bom ; 0,0000268591 ; 0,0018719118 ; 0,0113830570 ;-0,0105590820 ; 0,0018717566 ; 0,0000035035 ;;;;;;;;
 Isolador Bom ; 0,0000255481 ; 0,0018369304 ; 0,0131530760 ;-0,0104064940 ; 0,0018367895 ; 0,0000033738 ;;;;;;;;
 Isolador Bom ; 0,0000262280 ; 0,0018677665 ; 0,0142211910 ;-0,0105896000 ; 0,0018676196 ; 0,0000034880 ;;;;;;;;
 Isolador Bom ; 0,0000264063 ; 0,0018813224 ; 0,0165100100 ;-0,0106811520 ; 0,0018811747 ; 0,0000035388 ;;;;;;;;
 Isolador Bom ; 0,0000247717 ; 0,0018990199 ; 0,0142822270 ;-0,0101623540 ; 0,0018988963 ; 0,0000036058 ;;;;;;;;
 Isolador Bom ; 0,0000244226 ; 0,0019521216 ; 0,0110778810 ;-0,0104675290 ; 0,0019520078 ; 0,0000038103 ;;;;;;;;
 Isolador Bom ; 0,0000256311 ; 0,0019566354 ; 0,0121765140 ;-0,0115356450 ; 0,0019565066 ; 0,0000038279 ;;;;;;;;
 Isolador Bom ; 0,0000258215 ; 0,0018836962 ; 0,0132446290 ;-0,0103759770 ; 0,0018835569 ; 0,0000035478 ;;;;;;;;
 Isolador Bom ; 0,0000261609 ; 0,0018549339 ; 0,0139465330 ;-0,0104064940 ; 0,0018547865 ; 0,0000034402 ;;;;;;;;
 Isolador Bom ; 0,0000250867 ; 0,0018503310 ; 0,0128784180 ;-0,0097961426 ; 0,0018501980 ; 0,0000034232 ;;;;;;;;
 Isolador Bom ; 0,0000257776 ; 0,0018867777 ; 0,0118713380 ;-0,0123596190 ; 0,0018866393 ; 0,0000035594 ;;;;;;;;
 Isolador Bom ; 0,0000255493 ; 0,0018320759 ; 0,0127563480 ;-0,0091552734 ; 0,0018319344 ; 0,0000033560 ;;;;;;;;
 Isolador Bom ; 0,0000256689 ; 0,0019259427 ; 0,0131225590 ;-0,0112609860 ; 0,0019258101 ; 0,0000037087 ;;;;;;;;
 Isolador Bom ; 0,0000254663 ; 0,0019250807 ; 0,0127868650 ;-0,0116882320 ; 0,0019249507 ; 0,0000037054 ;;;;;;;;
 Isolador Bom ; 0,0000249158 ; 0,0019148151 ; 0,0130310060 ;-0,0093994141 ; 0,0019146913 ; 0,0000036660 ;;;;;;;;
 Isolador Bom ; 0,0000258374 ; 0,0018914450 ; 0,0130920410 ;-0,0118408200 ; 0,0018913064 ; 0,0000035770 ;;;;;;;;
 Isolador Bom ; 0,0000264063 ; 0,0019479235 ; 0,0146179200 ;-0,0104980470 ; 0,0019477834 ; 0,0000037939 ;;;;;;;;
 Isolador Bom ; 0,0000248206 ; 0,0019617000 ; 0,0129699710 ;-0,0097961426 ; 0,0019615822 ; 0,0000038478 ;;;;;;;;
 Isolador Bom ; 0,0000267078 ; 0,0019352668 ; 0,0141906740 ;-0,0097961426 ; 0,0019351212 ; 0,0000037447 ;;;;;;;;
 Isolador Bom ; 0,0000246216 ; 0,0018816597 ; 0,0138244630 ;-0,0108947750 ; 0,0018815363 ; 0,0000035402 ;;;;;;;;
 Isolador Bom ; 0,0000266394 ; 0,0018999866 ; 0,0137939450 ;-0,0103454590 ; 0,0018998379 ; 0,0000036094 ;;;;;;;;
 Isolador Bom ; 0,0000245593 ; 0,0019870293 ; 0,0136108400 ;-0,0109863280 ; 0,0019869172 ; 0,0000039478 ;;;;;;;;
 Isolador Bom ; 0,0000253552 ; 0,0018739560 ; 0,0128173830 ;-0,0104980470 ; 0,0018738220 ; 0,0000035112 ;;;;;;;;
 Isolador Bom ; 0,0000261169 ; 0,0019149664 ; 0,0151672360 ;-0,0111083980 ; 0,0019148266 ; 0,0000036666 ;;;;;;;;
 Isolador Bom ; 0,0000257507 ; 0,0019112014 ; 0,0152587890 ;-0,0119323730 ; 0,0019110661 ; 0,0000036522 ;;;;;;;;
 Isolador Bom ; 0,0000245752 ; 0,0018542566 ; 0,0143432620 ;-0,0109558110 ; 0,0018541308 ; 0,0000034378 ;;;;;;;;
 Isolador Bom ; 0,0000260181 ; 0,0019014846 ; 0,0177917480 ;-0,0136718750 ; 0,0019013447 ; 0,0000036151 ;;;;;;;;
 Isolador Bom ; 0,0000254700 ; 0,0018960371 ; 0,0167236330 ;-0,0105285640 ; 0,0018959040 ; 0,0000035945 ;;;;;;;;
 Isolador Bom ; 0,0000258887 ; 0,0019279059 ; 0,0112304690 ;-0,0133666990 ; 0,0019277707 ; 0,0000037163 ;;;;;;;;
 Isolador Bom ; 0,0000248889 ; 0,0019922173 ; 0,0137634280 ;-0,0106201170 ; 0,0019921017 ; 0,0000039685 ;;;;;;;;
 Isolador Bom ; 0,0000252600 ; 0,0019362995 ; 0,0121459960 ;-0,0108642580 ; 0,0019361735 ; 0,0000037488 ;;;;;;;;
 Isolador Bom ; 0,0000257776 ; 0,0019730772 ; 0,0148620610 ;-0,0111083980 ; 0,0019729483 ; 0,0000038925 ;;;;;;;;
 Isolador Bom ; 0,0000253931 ; 0,0019332638 ; 0,0116882320 ;-0,0114135740 ; 0,0019331357 ; 0,0000037370 ;;;;;;;;
 Isolador Bom ; 0,0000244067 ; 0,0019624615 ; 0,0149536130 ;-0,0108947750 ; 0,0019623490 ; 0,0000038508 ;;;;;;;;
 Isolador Bom ; 0,0000264001 ; 0,0019122250 ; 0,0133666990 ;-0,0119323730 ; 0,0019120810 ; 0,0000036561 ;;;;;;;;
 Isolador Bom ; 0,0000240442 ; 0,0019778432 ; 0,0155944820 ;-0,0116882320 ; 0,0019777366 ; 0,0000039114 ;;;;;;;;
